	controller	steady state average	elevator	lower interval	upper interval
0	Random	0.22869500045645771	1	0.21948548425724143	0.237904516655674
1	Random	0.23676159915365438	2	0.22618816520648288	0.24733503310082589
2	Random	0.23778360651440583	3	0.2270729359203049	0.24849427710850677
3	Zoning	0.07134998170085574	1	0.06662878000510086	0.07607118339661062
4	Zoning	0.29864153544030936	2	0.2896944022209578	0.3075886686596609
5	Zoning	0.20225715686390228	3	0.19296133519064462	0.21155297853715993
6	Nearest	0.12383982839692206	1	0.11843847121516592	0.12924118557867822
7	Nearest	0.12404126526738717	2	0.11868082483817802	0.12940170569659631
8	Nearest	0.12325882783695992	3	0.11778995902576887	0.12872769664815095
