controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Random	(1, 1, 1)	129	4.657603128325141	0.03070521671795985	0.5270686009247252	0.012166785113510596
Zoning	(1, 1, 1)	122	4.503217193999977	0.03543245197440842	0.386139917987392	0.012519070157744134
Nearest	(1, 1, 1)	285	3.876149118996622	0.03274375901431489	0.3103118697764967	0.009696504604235713
Random	(1, 3, 5)	157	4.431732373900075	0.029755898827866754	0.5746527525574835	0.01213833184913741
Zoning	(1, 3, 5)	179	3.9695264977750893	0.03441481403096305	0.47627120473241313	0.012900588894389185
Nearest	(1, 3, 5)	310	3.4996867409916628	0.031013847283644036	0.33835279962210557	0.01060113299136522
