controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Nearest	(3, 3, 3)	310	3.2114913998721013	0.0286713582407541	0.3180920945360897	0.0108788454106081
Nearest	(3, 3, 4)	322	3.2383650447476966	0.0282548553867581	0.327062642028638	0.0108277926522226
Nearest	(2, 3, 3)	316	3.2516551106351077	0.027108461590409	0.3170982505972986	0.0111337998114298
Nearest	(2, 3, 4)	312	3.2560999933196544	0.0263498437308226	0.3256397470720079	0.0103332655215834
Nearest	(3, 4, 4)	294	3.2577708792048794	0.0286305608339978	0.3380454138631137	0.0108524844427627
Nearest	(4, 4, 4)	332	3.264128988410123	0.0292401189729462	0.3408466209312959	0.0123846450825573
Nearest	(2, 4, 4)	288	3.2848033660380014	0.0257761036044317	0.3308646329725427	0.0113849268297256
Nearest	(3, 3, 5)	295	3.308304742616781	0.0263767636140751	0.3339660936897505	0.0104779018486693
Nearest	(3, 4, 5)	286	3.325011782506203	0.0304848005822753	0.3439747324460589	0.0108870546059355
Nearest	(1, 3, 3)	309	3.3317094549793533	0.0296233886098075	0.330368544536229	0.0109666769953797
Nearest	(2, 2, 4)	281	3.3424484812894755	0.0288913049985323	0.319949324004432	0.0119321846199972
Nearest	(2, 2, 3)	287	3.346700809074014	0.0290278099162895	0.3061273985688744	0.0107123479593927
Nearest	(4, 4, 5)	287	3.350407348251642	0.0317527846804342	0.3527301042935194	0.0113939753387635
Nearest	(2, 3, 5)	276	3.366012870932772	0.0278662622888934	0.3316288542716852	0.011189822572937
Nearest	(1, 3, 4)	284	3.3879882582084027	0.0282716215291497	0.3383855394804769	0.0110252249241649
Nearest	(2, 2, 2)	295	3.392405847064901	0.0289610712531815	0.308159036576292	0.0112800015578328
Nearest	(1, 4, 4)	297	3.3956929765639683	0.0319658946084448	0.3420641438372426	0.0111340542371806
Nearest	(2, 4, 5)	245	3.404047091979283	0.0284392724227025	0.3326959642600038	0.0122664651335637
Nearest	(1, 2, 3)	268	3.411094175110114	0.0315783438557911	0.3236811571448674	0.009969134738012
Nearest	(3, 5, 5)	252	3.433774259262344	0.028380206333604	0.3492854314669503	0.0103777802095219
Nearest	(4, 5, 5)	293	3.4364348536146405	0.0285436933628156	0.3596528050732498	0.0114061613857219
Nearest	(3, 4, 6)	277	3.4402664840853685	0.0307707678386282	0.3535979672018233	0.0114037256693893
Nearest	(2, 2, 5)	263	3.4411595164871933	0.0311246550387614	0.3234376206606433	0.0100239589778078
Nearest	(1, 2, 4)	282	3.454281866479263	0.0294279794027802	0.3325475843747872	0.0109660624906923
Nearest	(3, 3, 6)	246	3.4581566156151213	0.0301052902673962	0.3418924872737079	0.0112618413875173
Nearest	(2, 5, 5)	258	3.4678943599793777	0.0314411155790356	0.3447042822566512	0.0112278806350981
Nearest	(1, 3, 5)	279	3.4688782656897126	0.0290677190055919	0.3464052690536769	0.010957743220849
Nearest	(4, 4, 6)	239	3.486452137498411	0.0288700792592144	0.3541003877183572	0.0120472748760221
Nearest	(1, 2, 2)	294	3.499246014995399	0.0300111525913	0.3195624731396608	0.0100038605817753
Nearest	(1, 2, 5)	270	3.5016698255521783	0.0317924999115062	0.341450483903767	0.0112537358132146
Nearest	(1, 4, 5)	293	3.503751881860228	0.031475503961094	0.3515111719184951	0.0112111780678967
Nearest	(2, 3, 6)	266	3.508213875582511	0.0338248822405858	0.3435884178664236	0.0111950400730353
Nearest	(1, 1, 3)	289	3.510043826657553	0.0298532802546079	0.3325097711334256	0.0094504080308756
Nearest	(1, 1, 4)	304	3.5128984277817468	0.0324237820919559	0.3477103206582242	0.0111966509007076
Nearest	(2, 4, 6)	234	3.527110871512228	0.0288986003681547	0.3418843709052565	0.0100138601283413
Nearest	(5, 5, 5)	268	3.533995688458732	0.0310152668739971	0.3682468639600642	0.0111272716587932
Nearest	(2, 2, 6)	262	3.5585554009283933	0.0348046753701696	0.3385146643604178	0.0112711162611535
Nearest	(3, 5, 6)	267	3.560500120924096	0.0308081778847713	0.3569877132797959	0.0111807196415686
Nearest	(1, 1, 2)	314	3.580032230680033	0.0333756507624445	0.327416940545618	0.0109393019985212
Nearest	(4, 5, 6)	258	3.5816165219088147	0.0327521994280446	0.3651060501073987	0.0108738368559882
Nearest	(2, 5, 6)	247	3.594450128647914	0.0299338760185901	0.3562097686611488	0.011933895342351
Nearest	(1, 3, 6)	247	3.6004031010833377	0.0307627464698657	0.3570056779709352	0.0108086040040248
Nearest	(1, 5, 5)	262	3.6010310798390965	0.0311644779350996	0.3631594845982629	0.0110069220545024
Nearest	(1, 4, 6)	262	3.621010934917448	0.0292375861279032	0.3696511983274522	0.0095436979453786
Nearest	(5, 5, 6)	259	3.643028424812272	0.0319301935149248	0.3772735312131975	0.0121575413449246
Nearest	(1, 1, 5)	286	3.651111018586347	0.0337798396251929	0.3522576740608273	0.0105185429106417
Nearest	(3, 6, 6)	255	3.670883491578449	0.0283929531836568	0.3709410434513557	0.0122622095979114
Nearest	(1, 1, 1)	328	3.6887643861084944	0.0297674681035987	0.3411696468066764	0.0106642090846646
Nearest	(1, 2, 6)	251	3.696013557922083	0.0319479876250399	0.3566317166292405	0.0108998972746567
Nearest	(4, 6, 6)	234	3.718004214850127	0.0320388507877228	0.3780629109189902	0.0122802848442518
Nearest	(1, 5, 6)	240	3.7305040107960377	0.0350950541824233	0.3755472020952292	0.0114514049243559
Nearest	(2, 6, 6)	241	3.749156143752687	0.03235274032405	0.3667823394632124	0.0119460062845912
